Results of experiments stored in: ./experiments/CartPole-v1_16

Episode: 173 (22518), exploration: 0.7772202511641518, score: 29.0
Scores: (min: 9.0, avg: 24.23, max: 65.0)

Episode: 174 (22519), exploration: 0.7764433223220087, score: 13.0
Scores: (min: 9.0, avg: 24.26, max: 65.0)

Episode: 175 (22520), exploration: 0.7760551491885553, score: 11.0
Scores: (min: 9.0, avg: 24.16, max: 65.0)

Episode: 176 (22521), exploration: 0.7752793850115474, score: 15.0
Scores: (min: 9.0, avg: 24.11, max: 65.0)

Episode: 177 (22522), exploration: 0.7733433655692761, score: 38.0
Scores: (min: 9.0, avg: 24.34, max: 65.0)

Episode: 178 (22523), exploration: 0.7727635030348967, score: 13.0
Scores: (min: 9.0, avg: 24.11, max: 65.0)

Episode: 179 (22524), exploration: 0.7712193276890005, score: 33.0
Scores: (min: 9.0, avg: 24.14, max: 65.0)

Episode: 180 (22525), exploration: 0.7692934469787335, score: 39.0
Scores: (min: 9.0, avg: 24.38, max: 65.0)

Episode: 181 (22526), exploration: 0.7677562056753867, score: 31.0
Scores: (min: 9.0, avg: 24.43, max: 65.0)

Episode: 182 (22527), exploration: 0.767372375557312, score: 9.0
Scores: (min: 9.0, avg: 24.19, max: 65.0)

Episode: 183 (22528), exploration: 0.7664136395757132, score: 20.0
Scores: (min: 9.0, avg: 24.24, max: 65.0)

Episode: 184 (22529), exploration: 0.7658389730366136, score: 14.0
Scores: (min: 9.0, avg: 24.17, max: 65.0)

Episode: 185 (22530), exploration: 0.7644997595787383, score: 28.0
Scores: (min: 9.0, avg: 24.35, max: 65.0)

Episode: 186 (22531), exploration: 0.7639265280908139, score: 11.0
Scores: (min: 9.0, avg: 24.32, max: 65.0)

Episode: 187 (22532), exploration: 0.7629720972654319, score: 19.0
Scores: (min: 9.0, avg: 24.35, max: 65.0)

Episode: 188 (22533), exploration: 0.7624000112378296, score: 13.0
Scores: (min: 9.0, avg: 23.87, max: 65.0)

Episode: 189 (22534), exploration: 0.761828354167491, score: 12.0
Scores: (min: 9.0, avg: 23.62, max: 65.0)

Episode: 190 (22535), exploration: 0.7606863256122952, score: 25.0
Scores: (min: 9.0, avg: 23.64, max: 65.0)

Episode: 191 (22536), exploration: 0.7595460090296373, score: 23.0
Scores: (min: 9.0, avg: 23.72, max: 65.0)

Episode: 192 (22537), exploration: 0.7585970511159418, score: 21.0
Model Saved
Scores: (min: 9.0, avg: 23.78, max: 65.0)

Episode: 193 (22538), exploration: 0.7570811838949845, score: 30.0
Scores: (min: 9.0, avg: 23.92, max: 65.0)

Episode: 194 (22539), exploration: 0.7561353054725767, score: 19.0
Scores: (min: 9.0, avg: 23.97, max: 65.0)

Episode: 195 (22540), exploration: 0.755757285078297, score: 11.0
Scores: (min: 9.0, avg: 23.8, max: 65.0)

Episode: 196 (22541), exploration: 0.7544357013476453, score: 26.0
Scores: (min: 9.0, avg: 23.9, max: 65.0)

Episode: 197 (22542), exploration: 0.7529281495475025, score: 31.0
Scores: (min: 9.0, avg: 23.88, max: 65.0)

Episode: 198 (22543), exploration: 0.7521755036989561, score: 16.0
Scores: (min: 9.0, avg: 23.71, max: 65.0)

Episode: 199 (22544), exploration: 0.7514236102140631, score: 19.0
